creation_date,update_date,city,zip_code,country,geometry_type,geometry_coords,description,headline,title,keyfacts,price_value,brand,id,numberOfRooms,numberOfBedrooms,livingSpace,numberOfFloors,availability,plotSpace,lon,lat,price_m2
2025-11-09 11:48:23.565684500+00:00,2025-11-12 12:39:36.461895900+00:00,Annemasse,74100,FR,MultiPolygon,"[[[[6.21676, 46.18798], [6.21694, 46.18857], [6.21916, 46.189], [6.22215, 46.18999], [6.22546, 46.1901], [6.22551, 46.19063], [6.22443, 46.19279], [6.22785, 46.19349], [6.22827, 46.19387], [6.22883, 46.19287], [6.23058, 46.19272], [6.23035, 46.19159], [6.23241, 46.19079], [6.2332, 46.19002], [6.23215, 46.18706], [6.23054, 46.18553], [6.23093, 46.18368], [6.23419, 46.18214], [6.23669, 46.1786], [6.23919, 46.17715], [6.23768, 46.17613], [6.23631, 46.17686], [6.23394, 46.18079], [6.23159, 46.18295], [6.22616, 46.18482], [6.22497, 46.1848], [6.22358, 46.18437], [6.22401, 46.18563], [6.22207, 46.18634], [6.22127, 46.18707], [6.21998, 46.18755], [6.21676, 46.18798]]]]","Situé au 5ᵉ étage avec ascenseur d’une résidence récente, calme et bien entretenue, ce charmant appartement T2 meublé de 50,04 m² saura vous séduire par sa luminosité, son agencement fonctionnel et son emplacement idéal (arrêt de tram à 1 minute à pied, gare d’Annemasse à 10 minutes à pied, commerces et pharmacie à proximité),

Entièrement meublé et équipé, il est prêt à accueillir ses futurs locataires.

L’appartement se compose de :
	•	Une chambre avec dressing intégré
	•	Un séjour lumineux (télévision, canapé, table inclus)
	•	Une cuisine américaine entièrement équipée
	•	Une salle de bains moderne avec douche à l’italienne
	•	Un garage

Les charges comprennent : le chauffage, l’eau chaude et les charges générales de copropriété.

Si vous êtes intéressé(e), merci de nous transmettre un dossier complet (pièce d’identité, trois dernières fiches de paie, contrat de travail, attestation de l’employeur récente, dernier avis d’imposition, et les 3 dernières quittances de loyer).
Votre candidature sera étudiée avec attention et, si elle est retenue, vous serez contacté(e) pour convenir d’une visite.",Charmant T2 entièrement meublé avec tram et commerce à proximité,Appartement à louer,"['2 pièces', '1 chambre', '50 m²', 'Étage 5/6']",1450.0,seloger,25VHAUT9XUCV,2.0,1.0,50.0,56.0,,,6.227853632657463,46.18736426315959,29.0
,2025-12-13 12:51:22.774000+00:00,Annemasse,74100,FRA,MultiPolygon,"[[[[6.24063, 46.19428], [6.24107, 46.19525], [6.24403, 46.19857], [6.2471, 46.19786], [6.24735, 46.19837], [6.24861, 46.19807], [6.24878, 46.19885], [6.25022, 46.19853], [6.25075, 46.19905], [6.2518, 46.1993], [6.25215, 46.19683], [6.25095, 46.194], [6.25116, 46.19212], [6.2508, 46.19178], [6.25106, 46.19118], [6.24315, 46.19318], [6.24063, 46.19428]]]]","Appartement T3 - 58 m² 
Ce bien est géré par Cécile Gaillard réf : 2505CG

Disponible Immédiatement

Découvrez ce charmant appartement T3 partiellement meublé, situé 5 RUE DES TOURNELLES, Annemasse , au 1er étage d'un immeuble avec ascenseur.

Avec ses 58 m², cet appartement offre un espace de vie confortable et lumineux, parfait pour une famille ou un couple recherchant un cadre de vie agréable.

L'appartement se compose de deux chambres spacieuses, d'une salle de bains moderne, et d'un WC indépendant . La cuisine aménagée et équipée invite à des moments conviviaux, tandis que le balcon offre un espace extérieur .

Un parking complète ce bien .

Compris dans les charges : entretien des espaces communs.

Ce bien est soumis à l'ouverture d'un dossier : merci de vous connecter sur le lien suivant 

À proximité, toutes les commodités sont facilement accessibles : en seulement 5 minutes à pied du tram et du ceva. Vous trouverez également à proximité des restaurants, des parcs et jardins, des commerces d'alimentation générale ainsi qu'un médecin généraliste.

Honoraires de 580 euros TTC à la charge du locataire comprenant 174 euros TTC pour l'état des lieux. Loyer de base 1420 euros/mois. 30 euros/mois de charges forfaitaires. Dépôt de garantie 2 840 euros. Classe énergie C, Classe climat A Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 850.00 euros et 1150.00 euros sur les années 2021, 2022 et 2023 (abonnements compris). Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr. 

Carte pro. 74012018000036109.
Consultez notre vidéo sur YouTube :",Appartement T3,Appartement à louer,"['3 pièces', '2 chambres', '58 m²', '1er étage']",1450.0,seloger,25VY1BVYHWKP,3.0,2.0,58.0,1.0,,,6.247104876299496,46.19535840289667,25.0
2025-11-30 21:31:50.895567200+00:00,2025-12-08 18:34:42.580596200+00:00,Annemasse,74100,FR,MultiPolygon,"[[[[6.25008, 46.1858], [6.24763, 46.18635], [6.24777, 46.1867], [6.24745, 46.18699], [6.24375, 46.18813], [6.24385, 46.1885], [6.2407, 46.1938], [6.24074, 46.19414], [6.24589, 46.19238], [6.25106, 46.19118], [6.25123, 46.19068], [6.25062, 46.18961], [6.25075, 46.18793], [6.25154, 46.18572], [6.25008, 46.1858]]]]","À louer T2 meublé de 45m2 avec terrasse et cave 1’100€ + 200€ de charges (chauffage, eau chaude, eau froide)
À 5 min à pied du futur tram. 
Disponible de suite. 
Merci de transmettre votre dossier complet (contrat de travail, 3 dernières fiches de salaire, pièce d’identité, dernier avis d’imposition + même dossier pour le garant)
Seul les dossiers complets seront étudiés pour une visite.",Appartement T2 45m2,Appartement à louer,"['2 pièces', '1 chambre', '45 m²']",1300.0,seloger,2563622FNTV3,2.0,1.0,45.0,,,,6.246689877497074,46.18981219310271,29.0
,2025-12-12 11:11:15.324000+00:00,Annemasse,74100,FRA,MultiPolygon,"[[[[6.23789, 46.18896], [6.23946, 46.19243], [6.24032, 46.19397], [6.24065, 46.19405], [6.24388, 46.18838], [6.24101, 46.18329], [6.23891, 46.18365], [6.23869, 46.18432], [6.23771, 46.18505], [6.23771, 46.18623], [6.23957, 46.18831], [6.23955, 46.18857], [6.23789, 46.18896]]]]","Réf. AN004937 - IMODIRECT vous présente : À louer – T2 meublé rénové – 49,63 m² – Annemasse (proche centre-ville)

Situé au 4ème étage avec ascenseur d'une résidence calme et bien entretenue, ce charmant appartement T2 meublé de 49,63 m² vous séduira par sa luminosité, son fonctionnement optimal et sa rénovation récente de qualité.

Entièrement meublé, il est prêt à accueillir ses futurs locataires.

1 chambre spacieuse
Séjour lumineux
Cuisine équipée séparée
Salle de bains moderne
Cave
Place de parking privé

Les charges comprennent : Le chauffage, l'eau chaude, l'eau froide et les charges générales d'immeuble.

Visite possible à partir du 19 septembre

Déposez votre dossier sur Imodirect AN004937

Paiement des Frais d'agence en 3x sans frais*

*paiement en 3x sans frais possible sous condition d'éligibilité.

Classe énergétique : D (de 181 à 250).

Les frais d'agence sont de 645,19 € maximum.

ERP : Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : 

Pour toute question ou visite, merci de nous contacter","Appartement - 4ème étage - 49,63 m2 - 2 pièces - Meublé",Appartement à louer,"['2 pièces', '1 chambre', '49 m²', '4ème étage']",1200.0,seloger,25SCJAPMEPVB,2.0,1.0,49.0,4.0,,,6.240601471776571,46.188181420870784,24.0
,2025-12-10 03:21:07.017000+00:00,Annemasse,74100,FRA,Point,"[6.2388535, 46.1980126]","APPARTEMENT 5 PIÈCES AVEC BALCON
À côté de la gare, au 41 Rue Du Chablais (Annemasse, 74100), venez découvrir cette colocation de 4 chambres de 87 m².

 LA CHAMBRE
Cette chambre dispose d'un lit et de rangements.

 LES ESPACES COMMUNS
Cet appartement de 5 pièces est agencé comme suit : un salon, trois chambres, une cuisine équipée (dont lave-vaisselle) et une salle de bains avec douche.
Le chauffage est collectif. Cet appartement est aussi raccordé à la fibre optique.
Il est situé au 3e étage d'un immeuble avec ascenseur.

LES EXTÉRIEURS
Un balcon et une terrasse complètent cet appartement, un gain d'espace et de confort bienvenu.
Un local vélos est disponible dans le bâtiment.

QUARTIER & TRANSPORTS
On trouve le cinéma Saleve de même que des restaurants, des boulangeries, des commerces et des supermarchés dans les environs. Enfin, 2 marchés animent les environs.
Niveau transports, il y a sept lignes de bus ainsi que la gare Annemasse à moins de 10 minutes à pied. Les autoroutes A40 et A411 sont accessibles à moins de 3 km.

SERVICES ET ÉQUIPEMENTS
Internet Fibre
Chauffage
Eau chaude
Electricité
Taxe Ordures Ménagères
Eau courante
Ménage

——
Bail individuel à la chambre. Pas de caution solidaire. Chacun est libre de partir quand il veut sans se soucier des autres colocs, dès le moment où il respecte un mois de préavis. Eligible aux APL.
 POUR FAIRE UNE CANDIDATURE, ALLER SUR NOTRE SITE WEB OQORO ET RENSEIGNER LA REFERENCE : SL0688I
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : 
Montant estimé des dépenses annuelles d'énergie pour un usage standard : 1977 euros par an.
Prix moyens des énergies indexés sur l'année 2021,2022,2023 (abonnements compris)",Chambre en colocation appartement meublé,Appartement à louer,"['5 pièces', '4 chambres', '87 m²', '3ème étage']",695.0,seloger,25PGZEAV6757,5.0,4.0,87.0,3.0,,,6.2388535,46.1980126,8.0
2025-11-24 13:47:47.084997700+00:00,2025-11-24 13:47:47.084996400+00:00,Annemasse,74100,FR,MultiPolygon,"[[[[6.22883, 46.19287], [6.22861, 46.19362], [6.23297, 46.19474], [6.2361, 46.19464], [6.23799, 46.19416], [6.23889, 46.19417], [6.23816, 46.19277], [6.23946, 46.19243], [6.23789, 46.18896], [6.23522, 46.18944], [6.23453, 46.19042], [6.23306, 46.1901], [6.23241, 46.19079], [6.23035, 46.19159], [6.23058, 46.19272], [6.22883, 46.19287]]]]","Bonjour,
Je propose un appartement de 3 chambres entièrement refait à neuf, situé en plein centre-ville d’Annemasse, rue du Commerce.
– Cuisine américaine
– Volets roulants dans les chambres
– Literie toute neuve et confortable
– Immeuble sécurisé et calme

Bail de 1 an minimum.
Prix par chambre : 790€/mois à 830€ (chambre avec balcon)
Dossier solide uniquement.
Bien cordialement,
Camille",Colocation - Centre-ville Annemasse,Appartement à louer,"['4 pièces', '3 chambres', '76 m²', 'Étage 4/6']",790.0,seloger,25KLYYIW7T57,4.0,3.0,76.0,46.0,,,6.234717519790121,46.192265730999985,10.0
,2025-07-16 08:22:10.264000+00:00,Annemasse,74100,FRA,MultiPolygon,"[[[[6.22861, 46.19362], [6.22838, 46.19378], [6.22977, 46.19542], [6.23396, 46.19788], [6.23377, 46.19812], [6.23579, 46.1998], [6.23549, 46.20061], [6.23648, 46.20138], [6.23907, 46.20143], [6.24053, 46.20191], [6.24095, 46.20056], [6.24054, 46.19938], [6.23948, 46.1984], [6.24255, 46.19688], [6.24095, 46.19509], [6.24054, 46.19436], [6.24073, 46.19411], [6.24032, 46.19397], [6.23946, 46.19243], [6.23816, 46.19277], [6.23889, 46.19417], [6.23799, 46.19416], [6.2361, 46.19464], [6.23297, 46.19474], [6.22861, 46.19362]]]]","À louer – T3 de 72 m² avec vue montagne – 4 min à pied de la gare d'Annemasse

Bonjour,

Je mets en location un appartement T3 de 72 m², situé au 4 € étage (avec ascenseur), à seulement 4 minutes à pied de la gare d'Annemasse et 3 minutes en voiture du centre commercial Leclerc.

?? Caractéristiques :

Superficie : 72 m²

2 chambres, séjour lumineux, cuisine séparée, salle de bain, WC indépendant

Deux balcons avec très belle vue dégagée sans vis-à-vis

Parking privatif et cave

?? Environnement : Calme, bien desservi, proche de tous commerces, transports et écoles

?? Loyer : 1750€ charges comprises
?? Garantie demandée : 1700 €
?? Disponible à partir du 1 €? août 2025 (date flexible)

? Conditions de location :

Contrat CDI obligatoire

Revenus nets = 3x le loyer

?? N'hésitez pas à me contacter pour plus d'infos ou pour organiser une visite

Deborah",À propos de ce bien,Appartement à louer,"['3 pièces', '2 chambres', '72 m²', 'Étage 1/6']",1750.0,seloger,25YA24GCDVC3,3.0,2.0,72.0,16.0,,,6.236811145842477,46.19705577613584,24.0
,2025-12-11 19:41:16.866000+00:00,Annemasse,74100,FRA,MultiPolygon,"[[[[6.22861, 46.19362], [6.22838, 46.19378], [6.22977, 46.19542], [6.23396, 46.19788], [6.23377, 46.19812], [6.23579, 46.1998], [6.23549, 46.20061], [6.23648, 46.20138], [6.23907, 46.20143], [6.24053, 46.20191], [6.24095, 46.20056], [6.24054, 46.19938], [6.23948, 46.1984], [6.24255, 46.19688], [6.24095, 46.19509], [6.24054, 46.19436], [6.24073, 46.19411], [6.24032, 46.19397], [6.23946, 46.19243], [6.23816, 46.19277], [6.23889, 46.19417], [6.23799, 46.19416], [6.2361, 46.19464], [6.23297, 46.19474], [6.22861, 46.19362]]]]","Annemasse Centre/Gare – Appartement beau T3 neuf 69m² au 2e étage avec ascenseur + Cave,
idéalement situé en plein centre-ville, juste à côté de la gare. 
Emplacement parfait : à proximité immédiate de tous les commerces, restaurants, transports et services,
vous pouvez facilement vivre sans voiture.
Le logement comprend :
Un séjour lumineux ouvrant sur un balcon.
Une cuisine meublée.
2 chambres.
Une salle de bain avec WC.
2ieme étage avec ascenseur.
Une petite cave privative
Un local à vélos sécurisé.
Appartement non meublé, dans une résidence neuve et bien entretenue.
Charges comprises : eau, chauffage, électricité, frais généraux d'entretien.
 Pour visiter et vous accompagner dans votre projet, contactez Richard CHANTELLY 
 
Selon l'article L.561.5 du Code Monétaire et Financier, pour l'organisation de la visite, la présentation d'une pièce d'identité vous sera demandée.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : 
Cette présente annonce a été rédigée sous la responsabilité éditoriale de Richard CHANTELLY agissant sous le statut d'agent commercial immatriculé au Ville du greffe : THONON-LES-BAINS sous le numéro RSAC N° 808 981 898 auprès de la SAS IMMO RESEAU au capital de 10 000 euros - Réseau national immobilier sur internet, 44 Allée des Cinq Continents - 44120 VERTOU - RNE NANTES 519 718 886. Carte professionnelle T et G n° CPI 3002 2018 000 024 971 CCI de Nantes-Saint-Nazaire (44) ; Garantie par GALIAN – 89 rue de la Boétie - 75008 Paris N°171379G pour 120 000 euros pour T. Assurance responsabilité civile professionnelle par GALIAN n° de police 120 137 405
(réf. 37225) - Le professionnel garantit et sécurise votre projet immobilier
 Loyer: 1 700.00 euros* 
Dépôt de garantie : 1 700 euros",3 pièces,Appartement à louer,"['3 pièces', '2 chambres', '69 m²', '2ème étage']",1700.0,seloger,256I8ZSZU23E,3.0,2.0,69.0,2.0,,,6.236811145842477,46.19705577613584,25.0
,2025-12-13 01:16:59.168000+00:00,Annemasse,74100,FRA,MultiPolygon,"[[[[6.24126, 46.17874], [6.23768, 46.17613], [6.23166, 46.18291], [6.21661, 46.18803], [6.22546, 46.1901], [6.22443, 46.19279], [6.22852, 46.19383], [6.23648, 46.20138], [6.24053, 46.20191], [6.23948, 46.1984], [6.24255, 46.19688], [6.25132, 46.19932], [6.27295, 46.19826], [6.27374, 46.20042], [6.27648, 46.19904], [6.2776, 46.19608], [6.27244, 46.19739], [6.26972, 46.19425], [6.25098, 46.19132], [6.25154, 46.18572], [6.24352, 46.18256], [6.24126, 46.17874]]]]","Vous recherchez un logement spacieux, moderne et idéalement situé à Annemasse, à deux pas de Genève ? Ce duplex neuf de 109,67 m², conçu selon les dernières normes de confort, est une opportunité rare pour une famille, des frontaliers ou une colocation premium.
Ce que ce bien vous offre :

Surface généreuse : 109,67 m² répartis sur deux niveaux

4 chambres spacieuses avec belle luminosité naturelle

Grande pièce de vie idéale pour les moments partagés

Grand balcon sans vis-à-vis avec vue sur le Salève

Cuisine ouverte, à aménager selon vos goûts et besoins

Salle d'eau moderne + WC séparé

Cave privative pour plus de rangement

Place de parking extérieure privée : fini le stress du stationnement

Un emplacement stratégique à Annemasse
Situé dans un secteur résidentiel calme et prisé, ce logement offre une qualité de vie idéale :

À moins de 15 minutes de la frontière suisse

Proche des commerces, écoles, transports en commun

Accès rapide au centre-ville d'Annemasse

Informations clés :

Loyer mensuel : 2 647 € charges comprises

Charges incluses : provision pour eau froide (50 €/mois)

Dépôt de garantie : 5 194 € (2 mois hors charges)

Type de location : meublée longue durée

Disponibilité : immédiate

Contactez HOMEY dès aujourd'hui pour visiter ce duplex rare sur le marché. Les biens de cette qualité, avec autant d'atouts et à une telle localisation, partent très vite.","Duplex 4 chambres 110 m²   Parking, cave, grand balcon   À louer",Duplex à louer,"['5 pièces', '4 chambres', '109 m²', 'Étage 3/3']",2247.0,seloger,25BC6P5BT86F,5.0,4.0,109.0,33.0,,,6.243363495114116,46.191105377292835,21.0
2025-12-08 19:52:36.818645200+00:00,2025-12-08 19:52:36.818643300+00:00,Annemasse,74100,FR,MultiPolygon,"[[[[6.24063, 46.19428], [6.24107, 46.19525], [6.24403, 46.19857], [6.2471, 46.19786], [6.24735, 46.19837], [6.24861, 46.19807], [6.24878, 46.19885], [6.25022, 46.19853], [6.25075, 46.19905], [6.2518, 46.1993], [6.25215, 46.19683], [6.25095, 46.194], [6.25116, 46.19212], [6.2508, 46.19178], [6.25106, 46.19118], [6.24315, 46.19318], [6.24063, 46.19428]]]]","Découvrez ce charmant T2 de 45 m², entièrement meublé, idéalement situé et prêt à accueillir son futur locataire.
Avec son balcon exposé plein sud et sa vue totalement dégagée, l’appartement bénéficie d’une luminosité exceptionnelle tout au long de la journée.

Description du logement
• Surface : 45 m²
• Type : T2
• Balcon plein sud avec magnifique vue dégagée
• Entièrement meublé : canapé, lit, rangements, table, chaises…
• Cuisine équipée : four, plaques, frigo, micro-ondes, cafetière, ustensiles complets, vaisselle – il n’y a plus qu’à poser ses valises
• Chauffage individuel gaz, économique et confortable
• Salle de bain fonctionnelle, propre et moderne

Stationnement
• Garage fermé, sécurisé et inclus dans la location
• Parking visiteur fermé

Atouts
• Appartement lumineux et agréable à vivre
• Mobilier et équipements en excellent état
• Résidence calme
• Parfait pour une personne seule ou un couple
• À 10 min à pied de la gare, 5 min à pied du futur tram 
• Commerces à proximité",Appartement 2 pièces vue dégagée plein sud,Appartement à louer,"['2 pièces', '1 chambre', '45 m²', 'Étage 3/4']",1400.0,seloger,25WCQ6HZCVB3,2.0,1.0,45.0,34.0,,,6.247104876299496,46.19535840289667,31.0
