creation_date,update_date,city,zip_code,country,geometry_type,geometry_coords,description,headline,title,keyfacts,price_value,brand,id,numberOfRooms,livingSpace,numberOfFloors,availability,numberOfBedrooms,plotSpace,lon,lat,price_m2
2025-12-03 15:05:00+00:00,2025-12-03 16:26:35.921000+00:00,Nice,06000,FRA,MultiPolygon,"[[[[7.26481, 43.69762], [7.26483, 43.69756], [7.26485, 43.69752], [7.26486, 43.69748], [7.26506, 43.69691], [7.2651, 43.69672], [7.26512, 43.69653], [7.26514, 43.69642], [7.26524, 43.69579], [7.26539, 43.69499], [7.26526, 43.69499], [7.26452, 43.69496], [7.26406, 43.69494], [7.26355, 43.69492], [7.26355, 43.69492], [7.26355, 43.69492], [7.26352, 43.69491], [7.26352, 43.69491], [7.26358, 43.6948], [7.26359, 43.69477], [7.2636, 43.69472], [7.2637, 43.69443], [7.26365, 43.69433], [7.26333, 43.69431], [7.26214, 43.69422], [7.26149, 43.69415], [7.26083, 43.69405], [7.26029, 43.69399], [7.25969, 43.69389], [7.25936, 43.69385], [7.25922, 43.69383], [7.25882, 43.69381], [7.25824, 43.69372], [7.25815, 43.6937], [7.25671, 43.69338], [7.25635, 43.69328], [7.25633, 43.69355], [7.25635, 43.69375], [7.25631, 43.69386], [7.2563, 43.69497], [7.25631, 43.69526], [7.25692, 43.69537], [7.25743, 43.69546], [7.25775, 43.6955], [7.25808, 43.69555], [7.25853, 43.69562], [7.25874, 43.69565], [7.25941, 43.69573], [7.25975, 43.69576], [7.26082, 43.69586], [7.26069, 43.6963], [7.26055, 43.69679], [7.26114, 43.69689], [7.26164, 43.69697], [7.26292, 43.69728], [7.26383, 43.69747], [7.26481, 43.69762]]]]","Studio meublé de 20 m² refait à neuf  dans le Carré D'or à Nice : studio avec cuisine U.S.toute équipée ,confortable canapé lit ,  balcon , spacieuse salle de bains , calme, climatisé  à deux pas de la mer, ascenseur bel immeuble sécurisé , situé rue Halevy, disponible tout de suite bail meublé 12 mois renouvelable, pour info visite Alessandro",Studio Carré D'or avec balcon .,Appartement à louer,"['1 pièce', '20 m²', 'Étage 2/5']",850.0,seloger,255VF3U1CGJU,1.0,20.0,25.0,,,,7.261130257695459,43.69535697075519,42.0
2023-04-06 10:08:00+00:00,2025-12-09 12:51:12.175000+00:00,Nice,06300,FRA,Point,"[7.28354, 43.7014829999999]","Appartement loué nu avec avenant aux meubles, refait à neuf de type 1, d'une surface de 26,16 m² situé dans le quartier du vieux port au 3ème étage avec ascenseur.

Le bien est situé dans un quartier particulièrement dynamique. En effet, afin de vous déplacer facilement et rapidement dans la ville, vous trouverez à proximité de l'immeuble la ligne de tram. Aussi, le quartier dispose de nombreux commerces de proximité. Ainsi, cet emplacement central vous séduira à coup sûr.
 
Ce charmant T1 entièrement rénové se compose : d'un séjour avec cuisine ouverte, d'une salle d'eau avec WC. Aussi, il dispose d'un agréable balcon de 2,72 m², idéal pour un petit déjeuner ensoleillé. Au sein d'une copropriété neuve, il propose des prestations de standing telles que : cuisine équipée (plaque, frigo top, hotte), belle hauteur sous plafond…

Loyer hors charges : 776,00 €
Forfait de charges (charges de copropriété) : 50,00 €

Frais d'agence : 340,00 € dont 78,00 € de frais d'état des lieux.

Si l'annonce est en ligne, l'appartement est disponible.

Nous sommes joignables du lundi au vendredi. Le week-end n'hésitez pas à nous laisser un message vocal ou un SMS.",Appartement T1 avec balcon,Appartement à louer,"['1 pièce', '26,2 m²', '3ème étage']",826.0,seloger,24CRCSCY56BD,1.0,26.2,3.0,,,,7.28354,43.7014829999999,32.0
2025-12-09 07:55:00+00:00,2025-12-13 07:55:16.397000+00:00,Nice,06000,FRA,Point,"[7.2721078, 43.69897]","Accueil pour lycéens ou étudiants jeunes avec faible autonomie – Proximité Lycées Michelet Calmette et Masséna (Nice)
Mon bureau est situé à quelques minutes à pied des lycées Michelet Calmette et Masséna, à Nice. Nous proposons plusieurs chambres dans une maison familiale sur les hauteurs de Nice. L'environnement est calme, sécurisé et idéal pour des études sereines. Nous avons un local dit la cantine à proximité immédiate pour manger se reposer travailler se changer prendre une douche…
Nous favorisons la montée en autonomie et permettons aux jeunes de se déplacer en deux roues voitures VSP en plus des transports en commun
 Description de la maison :
•	Piscine
•	Salon de musique (avec instruments à disposition)
•	Vélo elliptique et rameur
•	Trampoline
•	Ambiance chaleureuse et studieuse
•	Vie de famille
 Chaque chambre est équipée de :
•	Lit mezzanine
•	Canapé
•	Bureau + chaise
•	Placard de rangement
 Services inclus :
•	Les repas du soir et petit déjeuner
•	Entretien du linge (lavage, séchage, repassage)
•	Entretien des locaux et chambre quotidien
Nous accueillons des lycéens jeunes étudiants sérieux et respectueux, dans un cadre propice au travail et à la détente.
Nous ne facturons que les nuits consommées sur la base de 50€/nuit avec un minimum de 4 nuits par semaine du lundi au vendredi.
Le prix indiqué est sur la base de 4 nuits par semaine.
L'accès se fait avec le Bus 76 ou en voiture avec stationnement gratuit au tram.
Les nuits supplémentaires seront facturées sur la base de 50€/nuit.
Mots clefs : Internat Lycée Etudiant mineur Lycéen Famille Accueil Garage Parking Michelet Cyrano Calmette Massena HPI

Updated on 13/12/2025
  Mise à jour le 13/12/2025",Maison de 10m2,Studio à louer,"['1 pièce', '10 m²', 'dès le 05/01/2026']",866.0,seloger,25PCC52WMDDB,1.0,10.0,,dès le 05/01/2026,,,7.2721078,43.69897,87.0
2025-11-13 17:30:00+00:00,2025-11-27 11:05:08.736000+00:00,Nice,06100,FRA,MultiPolygon,"[[[[7.26454, 43.72053], [7.2639, 43.71984], [7.2624, 43.71985], [7.25697, 43.71826], [7.2569, 43.71874], [7.26004, 43.71966], [7.25889, 43.71958], [7.25856, 43.72011], [7.25771, 43.7199], [7.25732, 43.72156], [7.25787, 43.72174], [7.25753, 43.72246], [7.25801, 43.72271], [7.26061, 43.72222], [7.26149, 43.72267], [7.26257, 43.72416], [7.26303, 43.7243], [7.26348, 43.72398], [7.26322, 43.72312], [7.2637, 43.72224], [7.26591, 43.7233], [7.26604, 43.72401], [7.26536, 43.72521], [7.26703, 43.72501], [7.26737, 43.72301], [7.26676, 43.72225], [7.26623, 43.72243], [7.26588, 43.72212], [7.26542, 43.72234], [7.2652, 43.72112], [7.26454, 43.72053]]]]","L'agence IMMO DE FRANCE vous propose un coquet F1 de 36m2 non meublé, comprenant une entrée avec placards de rangements, une cuisine indépendante aménagée et semi équipée, une pièce à vivre donnant sur le balcon, une salle de douche avec WC, le tout situé au 1er étage de l'immeuble avec ascenseur.

Une cave complète ce bien.

Au calme - Lumineux - Vue arborée - Gardien dans l'immeuble

A SAISIR RAPIDEMENT !",NICE CHAMBRUN/Appartement de type F1 36m2 avec balcon,Appartement à louer,"['1 pièce', '36 m²', 'Étage 1/5']",790.0,seloger,25ACS8613F5K,1.0,36.0,15.0,,,,7.261986031476595,43.72156869442036,22.0
2025-11-25 02:26:00+00:00,2025-12-10 02:46:13.613000+00:00,Nice,06300,FRA,MultiPolygon,"[[[[7.304, 43.69627], [7.30901, 43.69246], [7.30426, 43.68501], [7.29381, 43.68651], [7.29364, 43.69073], [7.28535, 43.69363], [7.28418, 43.69819], [7.28333, 43.69443], [7.28835, 43.69043], [7.27784, 43.69422], [7.26605, 43.69445], [7.24366, 43.68927], [7.23069, 43.67871], [7.23077, 43.66597], [7.22325, 43.65719], [7.2237, 43.66084], [7.21287, 43.64785], [7.20101, 43.64553], [7.19945, 43.64733], [7.20361, 43.65122], [7.20084, 43.65357], [7.20132, 43.66073], [7.18744, 43.69296], [7.18215, 43.73769], [7.18543, 43.7468], [7.19784, 43.75979], [7.21496, 43.75592], [7.21583, 43.75198], [7.21996, 43.75082], [7.22115, 43.74156], [7.23273, 43.74582], [7.23884, 43.75105], [7.24844, 43.75147], [7.24918, 43.74668], [7.2524, 43.74626], [7.24991, 43.74502], [7.2522, 43.74442], [7.25138, 43.73985], [7.26178, 43.74564], [7.26354, 43.74352], [7.27351, 43.74513], [7.27965, 43.74295], [7.28126, 43.73589], [7.28585, 43.73395], [7.29826, 43.73924], [7.29487, 43.74856], [7.29667, 43.75842], [7.29947, 43.75474], [7.30773, 43.75373], [7.31209, 43.74552], [7.30813, 43.73773], [7.29234, 43.73341], [7.30319, 43.72128], [7.30699, 43.72658], [7.31546, 43.72245], [7.32348, 43.72335], [7.31468, 43.7206], [7.31364, 43.71517], [7.30082, 43.70622], [7.30023, 43.70177], [7.304, 43.69627]]]]","NICE TNL, nous vous proposons ce très beau T2 meublé et équipé. L'appartement est composé d'un séjour, d'une cuisine meublée et équipé, d'une salle d'au et d'une chambre avec placards. Une jolie terrasse sur cour au calme, vous permettra de profiter pleinement de extérieur. Idéalement bien situé, à proximité immédiate du centre commercial Nice TNL, à 10 mn du tramway..Une place de stationnement Libre immédiatement Merci d'envoyer vos documents avant toute demande de visite :  Honoraires locataires : 400.0 euros Dont : - Visite, constitution dossier, rédaction de bail : 400.0 euros - Etablissement état des lieux : 0 euros - Dépôt de garantie : 1600.0 euros Location Meublée, Loyer 900.0 euros /mois C.C, dont charges mensuelles : 100.0 euros, régularisation annuelle",2 pièces,Appartement à louer,"['2 pièces', '1 chambre', '33,2 m²', '3ème étage']",900.0,seloger,25BINLF1MQ1C,2.0,33.2,3.0,,1.0,,7.23833690842232,43.71240395819776,27.0
2025-12-05 13:17:00+00:00,2025-12-05 13:21:22.576000+00:00,Nice,06000,FRA,MultiPolygon,"[[[[7.23996, 43.68975], [7.24395, 43.69277], [7.24338, 43.69357], [7.24371, 43.69363], [7.24422, 43.69283], [7.24479, 43.69326], [7.24668, 43.69263], [7.24845, 43.69356], [7.24909, 43.69287], [7.25261, 43.69411], [7.25323, 43.69317], [7.25319, 43.69253], [7.24587, 43.69026], [7.24532, 43.69061], [7.24456, 43.69033], [7.2442, 43.691], [7.24367, 43.6908], [7.24321, 43.69143], [7.23996, 43.68975]]]]","NICE PROMENADE DES ANGLAIS - APRES LE CENTRE UNIVERSITAIRE MEDITTERANNEEN BALCON- CALME ABSOLU - IMMEUBLE DE STANDING - EAU FROIDE ET EAU CHAUDE COLLECTIVE

Dans un immeuble de standing et sécurisé, studio meublé de 18.63m² situé au 2ème étage avec ascenseur comprenant : un hall d'entrée avec placard, une pièce à vivre donnant sur un balcon au calme absolu, une cuisine américaine aménagée et équipée ( plaque, frigo, machine a laver et micro onde) et une salle de douche avec WC. Eau froide et eau chaude collective. Une cave accompagne ce bien. EDL (état des lieux) inclus.

GARANTIE LOYERS IMPAYES : Revenu minimum de 2000 euros net
CDI hors période d'essai / indépendant depuis plus de 2 ans / étudiant avec garants Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : '.",NICE PROMENADE - STUDIO MEUBLE,Appartement à louer,"['1 pièce', '18,6 m²', '2ème étage', 'dès le 04/01/2026']",700.0,seloger,25LDG3SSQZVR,1.0,18.6,2.0,dès le 04/01/2026,,,7.247473075176369,43.69208757065677,38.0
2025-12-11 04:41:00+00:00,2025-12-12 01:17:16.849000+00:00,Nice,06000,FRA,Point,"[7.198742, 43.682361]","Crédit Agricole Immobilier vous propose, au coeur du quartier de l'Eco-Vallée Nice Méridia, un appartement T2 dans une résidence avec gardien, locaux à vélos/poussettes et ascenseur. Situé au 7ème étage, il comprend une cuisine ouverte sur le séjour, une chambre avec placard ainsi qu'une salle d'eau aménagée avec meuble sous vasque et wc. Placard dans le séjour. Un balcon. Une cave. Une place de parking. Pour faciliter vos déplacements au quotidien, vous trouverez à 250m l'arrêt de bus « Méridia » (lignes 9 et 11), la Gare à 2 km et l'aéroport Sophia Antipolis à 3km. Aussi, vous profiterez de la ligne Tram 3 qui vous permettra de rejoindre facilement le centre-ville de Nice ou l'aéroport. Pharmacie, supérette et restaurants à proximité immédiate, sur l'avenue Simone Veil. Enfin, le quartier Méridia est un quartier dynamique, avec écoles (de la maternelle au lycée) et entreprises à proximité (Schneider Electric, EDF, IBM, Cisco, Veolia).
Honoraires de location (TTC) à la charge du locataire pour la réalisation des services suivants : visites, constitution de dossier, frais de rédaction de bail, état des lieux. Dépôt de garantie, à verser par le locataire correspond à 1 mois de loyer HC. Nous consulter pour disponibilité.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :  georisques. gouv. fr",T2,Appartement à louer,"['2 pièces', '1 chambre', '42 m²', 'Étage 7/9']",823.0,seloger,259QLSL27H4B,2.0,42.0,79.0,,1.0,,7.198742,43.682361,20.0
2025-12-09 14:34:00+00:00,2025-12-09 15:06:09.619000+00:00,Nice,06000,FRA,MultiPolygon,"[[[[7.22827, 43.68058], [7.22966, 43.67991], [7.23122, 43.68145], [7.23238, 43.68084], [7.23112, 43.67927], [7.23118, 43.67852], [7.23084, 43.67885], [7.23061, 43.67855], [7.23062, 43.67769], [7.23145, 43.67657], [7.23129, 43.67548], [7.23064, 43.67472], [7.2285, 43.67546], [7.22806, 43.67497], [7.22773, 43.67507], [7.22501, 43.67629], [7.22429, 43.67566], [7.22326, 43.67607], [7.2256, 43.67863], [7.22827, 43.68058]]]]","Idéalement situé sur la célèbre Promenade des Anglais, au troisième étage d'une copropriété bien entretenue avec ascenseur, ce superbe appartement 3 pièces de 61.02 m² offre une magnifique vue mer et un cadre de vie privilégié. Traversant, lumineux et parfaitement agencé, il bénéficie de deux balcons qui prolongent agréablement les espaces de vie.

L'appartement se compose d'une entrée, d'un séjour lumineux ouvrant sur un balcon, d'une cuisine ouverte, aménagée et entièrement équipée, incluant notamment un lave-vaisselle et une machine à laver. Il dispose également de deux chambres, d'une salle d'eau moderne et d'un toilette séparé.

Disponible immédiatement, ce logement offre un emplacement idéal, face à la mer et à proximité immédiate des commerces, des transports et de toutes les commodités.

Une opportunité rare à visiter sans tarder.

Pour toutes visites, MERCI DE CONTACTER LE : (n'hésitez pas à laisser un message vocal ou un sms)

Vous pouvez consulter l'état des risques et pollution sur ce site :  Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques",Appartement 3 pièces - PROMENADE DES ANGLAIS - VUE MER,Appartement à louer,"['3 pièces', '2 chambres', '61 m²', 'Étage 3/6']",2000.0,seloger,255JZ2Y3QCT6,3.0,61.0,36.0,,2.0,,7.228341792375259,43.677700141824644,33.0
2025-10-31 14:55:00+00:00,2025-12-08 10:35:09.376000+00:00,Nice,06300,FRA,MultiPolygon,"[[[[7.281, 43.69969], [7.28231, 43.69725], [7.28084, 43.69884], [7.28172, 43.69698], [7.2808, 43.69675], [7.27961, 43.69688], [7.27985, 43.69813], [7.27856, 43.69654], [7.27709, 43.69656], [7.2774, 43.69779], [7.2772, 43.69821], [7.27688, 43.69819], [7.27697, 43.69867], [7.27861, 43.70024], [7.27967, 43.70071], [7.28041, 43.70048], [7.281, 43.69969]]]]","A deux pas de la mer, rue Raoul Bosio, studio meublé et rénové au 4ème étage, composé d'un séjour avec coin cuisine équipée et une salle de douche avec wc. Lumineux et ensoleillé, vue dégagée. A proximité du tramway.
Surface habitable: 15.75m2
Loyer : 690€ par mois charges comprises dont 30€ de provisions pour charges.
Dépôt de garantie: 1320€
Honoraires charges locataire: 204.75€TTC
dont 47.25€TTC pour état des lieux.
Contact agence :",STUDIO MEUBLE-VIEUX NICE,Studio à louer,"['1 pièce', '15,8 m²', 'Étage 4/5']",690.0,seloger,25EFHGUBY3KC,1.0,15.8,45.0,,,,7.279363853723699,43.698451165539865,44.0
2025-11-05 10:17:00+00:00,2025-11-05 10:20:09.517000+00:00,Nice,06200,FRA,MultiPolygon,"[[[[7.24181, 43.69371], [7.24368, 43.69365], [7.24339, 43.69348], [7.24395, 43.69277], [7.23972, 43.68956], [7.23933, 43.68984], [7.2375, 43.68931], [7.2373, 43.68994], [7.23764, 43.69072], [7.23669, 43.69184], [7.23827, 43.69262], [7.23973, 43.69261], [7.23964, 43.69293], [7.2384, 43.69353], [7.23883, 43.69391], [7.23981, 43.6935], [7.24181, 43.69371]]], [[[7.24479, 43.69326], [7.24422, 43.69283], [7.24371, 43.69363], [7.24459, 43.69354], [7.24479, 43.69326]]]]","Dans petite copropriété, beau studio meublé en parfait état avec climatisation
Proche commerces tram bus facs.
Photos sur demande.",Appartement À Louer,Appartement à louer,"['1 pièce', '21 m²']",650.0,seloger,253NLXIER3QY,1.0,21.0,,,,,7.240221124058638,43.69184633259339,31.0
